exercise_name,artifact,type,parent_exercise,tag,dose,cue_chars,current_cue,harmonized_cue
"Bajada excéntrica, pierna recta",aquiles,main,,Piso plano,3×15 por lado,259,"En el piso, no en el escalón. Sube a puntas con las dos, saca la pierna sana y baja con la lesionada en 4-5 segundos hasta que el talón toque el piso, y ahí paras. Nunca más abajo: con dolor en la inserción, ese rango de más aplasta el tendón contra el hueso.",
CARs de hombro,recuperacion,main,,Sin equipo,60s,259,"Brazo estirado, súbelo por adelante hasta arriba, rótalo y baja por atrás, dibujando el círculo más amplio posible. Costillas abajo y la otra mano en el esternón para sentir si el tronco se mueve. Dos o tres vueltas en el minuto, con tensión en todo el brazo.",
Tobillos y empeine,movilidad,main,,Sin equipo,45s,260,"Sentado sobre los talones con los empeines planos en el piso, y sube apenas las rodillas para cargar el empeine. Después, círculos amplios de tobillo. Si vienes de nadar, un tobillo que no apunta frena la patada; si vienes de correr, es el que se te puso duro.",
Perro abajo a perro arriba,recuperacion,main,,Sin equipo,120s,260,"Fluye entre las dos posturas al ritmo de la respiración: exhalas hacia perro boca abajo empujando los talones al piso, inhalas pasando a perro boca arriba abriendo el pecho. Sin apurar el tránsito: la mitad del beneficio está en el camino, no en las dos fotos.",
Cruce de cadera externa,movilidad,main,,Sin equipo,45s,263,"Boca arriba, lleva una rodilla cruzada al lado opuesto dejando que la pelvis rote con ella, brazos abiertos. Buscas el tensor y el glúteo, por fuera de la cadera. La cintilla iliotibial no se estira ni se ablanda a golpes: lo que se afloja es lo que tira de ella.",
Plancha larga,core-ciclista,main,,Anti-extensión,1×20-30s,265,"Plancha de antebrazos, pero con los codos bastante más adelante que los hombros. Pelvis metida, costillas hacia abajo. Cuanto más adelante los codos, más brutal — busca la distancia donde puedes aguantar 20 segundos sin que la lumbar se hunda, ni un centímetro más.",
Enrollado vertebral boca arriba,recuperacion,main,,Sin equipo,90s,266,"Acostado, rodillas dobladas. Despega la pelvis y sube vértebra por vértebra hasta apoyar en los omóplatos, y baja igual de lento, apoyando de arriba hacia abajo. Lo que buscas es que la columna se articule por segmentos, no que suba alto. Cinco o seis ciclos lentos.",
Press de kettlebell invertida,hombro,main,,Kettlebell liviana,3×8 por brazo,267,"Kettlebell al revés, agarrada del mango con la pesa apuntando al techo, y presionas por arriba. Empieza con una ridículamente liviana: mantenerla derecha exige del manguito todo lo que este bloque viene entrenando, y ahí es donde se nota si el hombro ya está estable.",
Activación de transverso,recuperacion,main,,Sin equipo,60s,274,"Boca arriba, rodillas dobladas, manos sobre los huesos de la cadera por dentro. Inhala al abdomen, y al exhalar lleva el ombligo hacia adentro y hacia arriba sin mover la pelvis. Deberías sentir una tensión suave debajo de los dedos. Es sutil, y es la base de todo lo demás.",
Sentadilla isométrica en pared,rodillas,main,,Pared,3×45s,276,"Espalda contra la pared, rodillas a ~90°, y empuja los talones contra el piso como si quisieras arrastrarlos hacia atrás. Sostén. Es el ejercicio que más rápido baja el dolor de rodilla — si hoy te molesta, empieza por aquí y vas a notar que el resto de la rutina duele menos.",
Guerrero I a II y Triángulo,recuperacion,main,,Sin equipo,120s,278,"Guerrero I con la cadera al frente, abre a Guerrero II girando el torso, y desde ahí baja al triángulo estirando el brazo largo. Sostén cada una unas cinco respiraciones antes de pasar a la siguiente. La rodilla de adelante siempre encima del tobillo, nunca por delante del pie.",
Plancha de oso con toques de hombro,core-ciclista,main,,Anti-rotación,1×16-20 toques,280,"En cuadrupedia con las rodillas despegadas unos centímetros del piso, toca el hombro contrario con una mano. La cadera no bascula ni un grado. Con la rodilla debajo de la cadera el ángulo se parece mucho más al de la bici que una plancha larga — y es más difícil de lo que parece.",
I-Y-T boca abajo,hombro,main,,Sin equipo,3×8 en cada posición,280,"Boca abajo, frente apoyada, pulgares al techo. Despega los brazos: adelante (I), en diagonal (Y) y en cruz (T). Junto los omóplatos hacia abajo, nunca hacia las orejas. Sin peso las tres veces primero; el peso viene después de que las 24 repeticiones salgan sin encoger el hombro.",
Dragón alado,recuperacion,main,,Sin equipo,90s,280,"Estocada muy larga, manos por dentro del pie de adelante, rodilla de atrás en el piso. Deja que la rodilla de adelante caiga hacia afuera y baja el peso sobre los antebrazos si llegas. Es intensa: quédate en un 6 o 7 sobre 10, nunca más. Respira largo y no la fuerces con rebotes.",
Rodillo: dorsal,hombro,main,,Rodillo,1×60-90s por lado,281,"De costado, el rodillo justo debajo de la axila, sobre el costado de las costillas. Cuando encuentres un punto sensible, frena ahí y sube y baja el brazo despacio — ese barrido despega el tejido mucho más que seguir rodando. El dorsal es el que te enrolla el hombro hacia adelante.",
Postura del niño con sesgo dorsal,hombro,main,,Sin equipo,1×2 min,281,"Sentado sobre los talones, brazos estirados adelante. Camina las dos manos bien hacia la izquierda para estirar el dorsal derecho, respira ahí, y después hacia la derecha. El dorsal es lo que tira el hombro a rotación interna; si no lo sueltas, todo lo de arriba trabaja en contra.",
CARs de columna,recuperacion,main,,Sin equipo,90s,282,"Sentado sobre los talones o en una silla. Segmento por segmento: flexión y extensión torácica, después inclinación a cada lado, después rotación. La cadera no se mueve — si se mueve, ya no estás moviendo la columna. Es lento y es aburrido, y es de las cosas que más rango devuelven.",
Sentadilla profunda sostenida,recuperacion,main,,Sin equipo,120s,289,"Abajo del todo, talones en el piso, codos por dentro de las rodillas empujando suave hacia afuera. Muévete adentro de la postura: de lado a lado, un poco adelante y atrás. Si los talones se levantan, apóyalos sobre algo — la posición correcta con ayuda vale más que la incorrecta sin ella.",
Simulación de agarre con banda,activacion,main,,Banda larga,,291,"Banda anclada a media altura o pisada. Inclínate un poco adelante y empuja hacia los muslos con el brazo largo y el codo alto. Buscas recordar la presión, no corregir la técnica: es para llegar al agua con el gesto despierto, y la técnica se trabaja en el agua con tu entrenador de natación.",
Pie corto,aquiles,main,,Sin equipo,3×30s por lado,292,"Descalzo, pie apoyado, acerca la base de los dedos al talón levantando el arco, sin arrugar los dedos y sin girar el tobillo. Es diminuto y cuesta encontrarlo; cuando aparece, sientes el arco activo. El pie y el aquiles se reparten el resorte: si el arco se cae, el tendón paga la diferencia.",
Deslizamiento de antebrazos en pared,hombro,main,,Pared,2×10,294,"De frente a la pared, antebrazos apoyados. Deslízalos hacia arriba y arriba del todo empuja la pared como si quisieras alejarte de ella, dejando que los omóplatos se abracen a las costillas. Ese último empujón es el serrato, y es el músculo que le hace lugar al tendón cuando levantas el brazo.",
Barridos 90-90 de cadera,core,main,,Sentado,,296,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Lleva las rodillas de un lado al otro como un limpiaparabrisas, lento. El pecho se mantiene alto: en cuanto te encorvas, el movimiento sale de la lumbar en vez de la cadera y deja de servir. Ayúdate con las manos atrás si hace falta.",
Plancha alta con toque de hombro,core,main,,Boca abajo,,301,"Plancha alta con los pies bien separados — cuanto más juntos, más difícil de estabilizar. Toca el hombro contrario con una mano y vuelve. El objetivo no es tocar rápido: es que la cadera no se mueva ni un centímetro, ni de lado ni rotando. Si la cadera baila, separa más los pies o apoya las rodillas.",
Plancha con alcance cruzado,core-ciclista,main,,Anti-rotación,1×10-12 alcances,309,"En plancha alta, estira una mano lejos y cruzada, pasando la línea de la otra mano, lento. La cadera no rota ni se hunde. Es la versión sin peso del arrastre: pide la misma tensión cruzada entre el dorsal de un lado y el glúteo del otro — la conexión de tirar del manillar mientras empujas el pedal contrario.",
CARs de cadera,recuperacion,main,,Sin equipo,60s,312,"De pie o en cuadrupedia, lleva la rodilla al pecho, ábrela al costado, rótala hacia atrás y baja — el círculo más grande que puedas hacer sin que se mueva nada más que la cadera. Lentísimo: dos o tres círculos en el minuto. Si el tronco compensa, achica el círculo; el rango que controlas es el rango que tienes.",
Toques de talón (pingüinos),core,main,,Boca arriba,,314,"Rodillas flexionadas, pies apoyados, omóplatos apenas despegados del piso y ahí se quedan todo el bloque. Inclínate a un lado hasta tocar el talón con la mano, después al otro. Rango corto y rápido: son oblicuos, no abdominales de revista. Si la cabeza se apoya entre repetición y repetición, el estímulo se corta.",
Postura del niño a cobra,core,main,,Piso,,317,"Flujo lento: siéntate sobre los talones con los brazos estirados adelante, después deslízate hacia adelante dejando caer la cadera al piso y abriendo el pecho. Ida y vuelta, respirando. Cierra la rutina moviendo toda la columna en los dos sentidos — termina quedándote en la postura del niño hasta que suene el timer.",
Rotación externa acostado de costado,hombro,main,,Sin equipo,3×15-20 por brazo,320,"De costado sobre el lado sano, el brazo de arriba con el codo pegado a las costillas (una toalla enrollada abajo ayuda) y flexionado a 90°. Gira el antebrazo hacia el techo. Poco o nada de peso y muchas repeticiones: el manguito es un grupo de resistencia, no de fuerza máxima. Una botella chica de agua alcanza y sobra.",
Puente a una pierna isométrico,core-corredor,main,,Cadena posterior,1×30-40s por pierna,324,"Un talón apoyado cerca de los glúteos, la otra rodilla abrazada al pecho. Sube la cadera hasta alinear rodilla, cadera y hombro y quédate ahí. Si lo sientes en la lumbar o en los isquios, mete la pelvis y baja un poco la altura: buscamos glúteo mayor, que es lo que sostiene y propulsa mientras estás apoyado en un solo pie.",
Movilidad de tobillo sin forzar,aquiles,main,,Sin equipo,1×90s por lado,326,"Sentado, círculos amplios y lentos con el tobillo, y después puntas hacia adelante sostenidas. Aquí no hay estiramiento de gemelo a propósito: con dolor en la inserción, llevar el pie a dorsiflexión máxima comprime el tendón contra el hueso, que es exactamente lo que estamos evitando toda la rutina. Movilidad sí, tironeo no.",
Postura de la rana,recuperacion,main,,Sin equipo,180s,329,"Rodillas abiertas y en línea con la cadera, tobillos detrás de las rodillas, antebrazos en el piso. Baja la cadera hasta el primer punto de tensión y quédate ahí tres minutos respirando, sin buscar más. Esta es una postura pasiva: el tiempo hace el trabajo, tú no. Solo en un día sin sesión — sobre tejido recién entrenado no va.",
Paloma (pigeon),core,main,,Piso,60s,332,"Pierna de adelante flexionada cruzada bajo el cuerpo, pierna de atrás estirada y alineada, no abierta al costado. Presiona activamente la espinilla de adelante contra el piso en vez de derrumbarte encima. Sesenta segundos: el glúteo y el piriforme necesitan tiempo, no fuerza. Si la rodilla molesta, pon una almohada bajo la cadera.",
Plancha alta a perro boca abajo,core,main,,Boca abajo,,334,"Desde la plancha alta, empuja la cadera arriba y atrás hasta el perro boca abajo, buscando talones al piso, y vuelve. Es el puente entre el core y la movilidad: estira gemelos e isquios sin dejar de pedirle tensión al tronco. Rodillas apenas flexionadas si los isquios están duros — la espalda recta manda sobre las piernas estiradas.",
Zancada inversa con rotación,core-corredor,main,,Rotación · integración bípeda,1×10-12 por pierna,342,"Paso atrás a zancada. En la posición baja, con los brazos extendidos al frente, rota el tronco hacia el lado de la pierna que quedó adelante, vuelve al centro y sube. La rodilla de adelante no se mete hacia adentro. Aquí el trabajo del piso pasa a la posición del corredor: cadera y rodilla estables mientras el tren superior rota controlado.",
Saludo al sol lento,recuperacion,main,,Sin equipo,240s,349,"Secuencia completa y lenta, un movimiento por respiración: de pie, manos arriba, pliégate hacia adelante, media elevación, plancha, perro boca abajo, paso adelante, y vuelve. Repítela las veces que entren en el bloque, alternando qué pierna adelanta. Es la única parte de la sesión que te va a subir un poco las pulsaciones, y está bien que sea así.",
Plancha alta con alcance al frente,core-corredor,main,,Anti-rotación,1×16-20 alcances,354,"Plancha alta, pies a la anchura de los hombros. Estira un brazo hacia adelante como si quisieras tocar la pared, sostén 2 segundos y baja. Alterna. Costillas abajo y cadera quieta — al sacar un apoyo el tronco tiene que resistir la rotación, que es exactamente lo que le pide el braceo. Cada grado que rota el tronco es energía que no fue hacia adelante.",
Respiración de cierre,movilidad,main,,Sin equipo,180s,355,"Boca arriba, rodillas dobladas, una mano en el pecho y otra en el abdomen. Inhala 4 segundos por la nariz llevando el aire al abdomen, exhala 6 por la boca. La exhalación larga es la que baja el sistema nervioso, y es lo que convierte esto en recuperación y no en una entrada en calor tardía. Si quieres un protocolo con timer, tienes Respiración en caja.",
Dead bug con presión isométrica,core-corredor,main,,Anti-extensión,1×10-12 por lado,368,"Boca arriba, rodillas a 90°, palmas contra los muslos. Empuja las piernas hacia ti y resiste con las manos sin ceder; sin soltar esa tensión, extiende brazo y pierna contrarios hacia el suelo sin tocarlo. La lumbar empuja contra el piso todo el tiempo — es lo primero que se pierde en el último tercio, cuando la pelvis se va a anteversión y la zancada se acorta sola.",
Plancha lateral con rodilla al pecho,core-corredor,main,,Anti-flexión lateral,1×10-12 por lado,377,"Antebrazo debajo del hombro, cadera arriba y en línea. Ya estable, lleva la rodilla de la pierna de arriba al pecho como en la fase de vuelo y vuelve a extenderla. La cadera de abajo no baja ni un centímetro. El glúteo medio del lado de apoyo es el que evita que la pelvis colapse en cada aterrizaje, y de ese colapso salen la cintilla iliotibial y buena parte de las rodillas.",
Peso muerto a una pierna,core-corredor,main,,Apoyo unipodal,1×8-10 por pierna,427,"De pie sobre una pierna, rodilla apenas flexionada. Lleva el tronco adelante y la pierna libre atrás hasta que queden en una sola línea, y vuelve sin apoyar. La cadera libre no se abre: las dos crestas ilíacas miran al piso. Es el ejercicio que más se parece a correr de toda la lista — cadena posterior, equilibrio y anti-rotación, sobre un solo pie. Si te tambaleas, acorta el rango antes que tocar el piso con la otra punta.",
